,date,city_code,PM2.5,BC,OM,SO4,NO3,NH4,cl
1253,2013/9/8,1001,28.69457,1.835808,13.08518,7.96192,4.603545,4.666198,1.208118
1258,2013/9/9,1001,63.9302,2.896682,30.70304,14.91429,13.19924,11.66657,2.216946
1263,2013/9/10,1001,30.0063,1.721361,16.24013,6.348878,4.466615,4.636451,1.229312
1268,2013/9/11,1001,29.24966,1.826953,13.55366,7.537881,4.977763,4.770783,1.353399
1273,2013/9/12,1001,34.62938,1.90183,15.59156,9.703909,5.817579,6.324722,1.614504
1278,2013/9/13,1001,36.44301,1.926272,16.98255,9.470231,6.273983,6.828053,1.789978
1283,2013/9/14,1001,20.4205,1.272425,11.70281,3.413252,3.120869,2.807996,0.9111394
1288,2013/9/15,1001,22.43262,1.455643,12.58029,3.547278,3.601092,3.195624,1.24832
1293,2013/9/16,1001,49.82272,2.548753,25.94381,10.45421,8.796671,7.794568,2.079273
1298,2013/9/17,1001,55.75878,2.747166,27.45795,11.48678,11.80923,8.543863,2.257649
1303,2013/9/18,1001,59.47356,2.903694,28.50201,11.50798,13.78568,10.17939,2.774199
1308,2013/9/19,1001,38.20923,2.055129,19.43979,8.601236,6.380992,6.772457,1.732081
1313,2013/9/20,1001,24.34599,1.501962,14.42081,3.811136,3.576763,3.758667,1.035318
1318,2013/9/21,1001,32.15823,1.94038,16.31993,6.802737,5.608421,4.870515,1.486761
1323,2013/9/22,1001,41.7255,2.14834,21.60744,8.527748,7.552725,7.204116,1.889246
1328,2013/9/23,1001,37.62076,1.786912,23.56291,5.188477,5.499609,5.698832,1.582849
1333,2013/9/24,1001,21.75116,1.160872,13.02439,3.098608,3.27961,3.10587,1.187679
1338,2013/9/25,1001,22.80683,1.352622,13.80635,3.163957,3.297447,3.102844,1.186457
1343,2013/9/26,1001,30.27058,1.897261,15.17896,6.376148,5.207646,4.854767,1.610566
1348,2013/9/27,1001,52.90362,2.696007,25.58496,11.40387,10.50324,8.140211,2.715544
